Sentences,Positive,Negative
as florida secretary of state kurt browning allowed illegal voters to register in florida,1,-2
the only budget ted cruz ever voted for in his time in the senate is a budget that cut defense spending by more than barack obama proposes we cut it,1,-1
rural schools enroll percent of american children but receive only percent of federal education funding,1,-1
based on the august national jobs numbers for every person who got a job nearly four people stopped looking for a job,1,-1
on repealing the th amendment,1,-2
more than percent of the gains have gone to the top percent,1,-1
an aide acted on his own and was not representing the thompson campaign when he sent an email criticizing the sexual orientation of u s senate candidate tammy baldwin,1,-2
on immigration what reports say president barack obama plans to do is roughly on the same scale as what president george h w bush did,1,-2
since alone the obama administration has allowed criminal aliens to return back into united states communities these are individuals encountered or identified by immigration and customs enforcement but who were not detained or processed for deportation because it wouldnt have been politically correct,1,-2
shirley sherrod was forced to resign before anybody on fox said a word about this,1,-2
that percent increase in the third quarter gdp came from two things government spending on cash for clunkers they just moved fourth quarter auto sales into the third quarter and the first time home buyer thing,1,-1
were trillion now in debt with a president thats racked up as much debt as almost all of the other presidents combined,1,-1
twenty two million jobs were created during clintons two terms but only million during bushs,1,-1
in the new york th district there is a large number of people who went to the polls tonight who didnt support the president to begin with and dont support democrats and its nothing more than that,2,-2
a government shutdown could disrupt veterans benefits,1,-1
a family of four can make up to a year and still get a subsidy for health insurance under the new federal health care law,2,-1
an economic impact study found that for every invested in pre k in pennsylvania a total of is generated in total spending within the state,1,-1
last year it was discovered that rhode islands public employees ranked th in average pay while the private sector ranked rd,1,-1
says will hurd said a border long u s mexico wall absolutely makes sense,1,-1
says state workers have not had across the board raises in six years,1,-1
when i was in college we used to take a popcorn popper and we would fry squirrel,1,-1
ronald reagan raised taxes in and,1,-2
says sen rand paul r ky has stated that supporting the right to health care means you believe in slavery,2,-1
says bernie sanders health care plan would empower republicangovernors to take away medicaid to take away health insurance for low income and middle income working americans,2,-2
in planned parenthood performed more prevention services and cancer screenings than abortions but in there were more abortions,1,-4
a proposed amendment allows a teenager to get a recommendation for medical marijuana without the consent of a parent,1,-1
says nothing in obamas billion request to address the child immigrant situation actually secures the border,2,-1
pregnant women trying to buy health insurance on their own are barred from maternity coverage because they have a pre existing condition,1,-1
if youre earning under a year and you commute to new york every day you pay more to the port authority in tolls than you pay to the state of new jersey in income tax,1,-2
in chile they have percent of the gdp in savings,1,-1
there are ohio jobs tied to the auto industry,1,-1
the mexican government forces many bad people into our country,1,-2
a sitting sheriff cannot be charged except by a warrant issued by a superior court judge,3,-1
since all virginia lottery profits have been used for public education in the commonwealth for kindergarten through th grade,2,-1
says house republicans rejected a straightforward measure that would prevent members of congress and the president from being paid during a government shutdown,1,-2
governor christie also remains the only governor since world war ii among both democrats and republicans who failed to have his party win control of at least one legislative body over the course of his term,1,-3
sixty percent of the state retirees dont get social security,2,-2
over of all donations raised from the als ice bucket challenge are going to fundraising overhead executive salaries and external donations,1,-2
if you go strictly by the numbers crime is down across the board last year we had a percent decrease in the most serious crimes,1,-2
sunday liquor sales could generate million to million a year in additional sales tax revenue for georgia,1,-2
says the new hampshire budget ended with an million surplus while the republican led budget has a million deficit,1,-2
says barack obama was silent on iran when the students took to the streets in tehran and the people there protested and the green revolution occurred,1,-2
no candidate has run more negative ads in american history than barack obama did in especially in the general,1,-2
inner city crime is reaching record levels,1,-2
the right to work states have much lower level of unemployment than the union states do,1,-1
oklahomas republican gov mary fallin signed a new law which makes you pay a special fee it will essentially fine people for the crime of using solar power,3,-2
tampa mayoral opponent bob buckhorn supported forcing police officers to keep their guns locked in the trunks of their cruisers,2,-2
millions could lose their health care coverage and be forced into a government pool under the new health care law,2,-1
a texas police department bought an ad telling drug dealers we can take your competition off the streets for free,1,-1
only a few months ago the fbi arrested three broward county commissioners for accepting millions of dollars in trade for illegal favors,2,-2
our unemployment rate has been higher than percent for more than two and a half years far above what the obama administration promised with the stimulus,2,-1
thanks in part to our all of the above strategy for american energy the united states generates more natural gas than anybody,2,-1
state law says that once the state appraises a piece of property they can only pay it a certain amount above appraisal,1,-1
ted cruz helps run two national organizations that have been leading the push to give amnesty to illegal immigrants,1,-2
says chris christie created this new category where you could get laid off and just be totally denied unemployment benefits forever,1,-3
thanks to our reforms the average family will have an extra to spend,2,-1
measles is one of the most common causes of child blindness worldwide,1,-2
when oil and gas prices sent state revenues up palin sent a large share of that revenue directly back to the people of alaska,1,-1
says he was the only republican candidate at a prior debate who said lower income workers were being hurt by the economy,1,-3
says hillary clintons top donors are mainly banks corporations and media while bernie sanders top donors are labor unions,1,-1
portland community college serves more students than all of the states universities combined,1,-1
if we dont spend money on a pier then that money does wipe into the general funds of the city or the county and if you send it to the county you never see it again,1,-1
obamacare is the largest tax increase in the history of the world,1,-2
republican candidate for governor allan fung donated to democrats like congressman david cicilline disgraced house speaker gordon fox and even mr obamacare harry reid,2,-4
says barack obama founded isis i would say the co founder would be crooked hillary clinton,1,-2
more than job openings are listed on a state jobs website,1,-1
when the united states invaded iraq saddam hussein wanted to acquire weapons of mass destruction and he said so himself after his capture,1,-2
when asked about bills in congress important to the north country derrick responded i just dont know enough about it,1,-1
except for virginia the other states keep raising their gas tax,1,-2
says children have lost their head start slots because of the sequester,1,-2
on disaster aid offsets,1,-2
strickland raised taxes last year to the tune of million,1,-2
sarah palin has more experience than barack obama,1,-1
a golf course closes somewhere in america every hours,1,-1
if you rent a u haul to move your company it costs twice as much to go from san francisco to austin than the other way around because you cant find enough trucks to flee the golden state,1,-2
the congressional budget office has already doubled its estimate for the cost of obamacare so far from roughly billion to trillion,1,-2
oregons three largest employers and of the top are health care providers,2,-1
we get percent of our oil from the gulf of mexico,1,-1
the department of energys billion ton study has shown that wind and solar energy combined could at best provide only percent of our total energy needs,2,-1
says the u s constitution provides for just compensation when land is taken under eminent domain,1,-1
says mitt romneys campaign has already spent more on negative ads than john mccain did during his entire presidential run,1,-2
as we near the th anniversary of the terrorist attacks we should not forget that some of the hijackers used new jersey drivers licenses to board those aircraft,1,-4
for every invested in business incubators up to nearly local jobs are generated,1,-1
although the governor doubled the beach fees all the money as we found out is all going to an out of state company the state isnt even getting the money for that,1,-1
three presidents in the last century harding kennedy and reagan all cut taxes during recessions and produced rapid and dramatic economic recoveries while two herbert hoover and barack obama did the opposite,1,-2
the congressional budget office analysis of the health insurance reform legislation says the bill cuts the deficit by trillion in the second years,1,-2
says john barrow voted with obama percent of the time,1,-1
studies show that people that are on welfare are higher users of drugs than people not on welfare,1,-1
the income of the top percent nearly quadrupled from to but the typical familys incomes barely budged,1,-1
john mccain has voted with george bush percent of the time,1,-1
says he and bernie sanders have very similar views on trade,1,-1
on rob portmans watch as bushs trade czar our deficit with china exploded and as bushs budget chief portman oversaw a spending spree that doubled the deficit,1,-2
sens mark warner and tim kaine voted to let the u n take our guns,1,-2
in just six years georgia has dropped from first in the nation from a business friendly legal climate to th,2,-1
million more americans living in poverty under president obama,1,-2
hillary clinton is willing to have workers wages garnisheed if they refuse to buy health insurance,1,-2
we have less crime in the rio grande valley than we do in other major texas cities,2,-2
says in the last four years weve cut million in ongoing revenue,1,-1
financial conflict of interest laws dont apply to the president right so the president doesnt have to have a blind trust,2,-2
says nearly million people are coming to town in the next years,1,-1
the house health care bill pays for about six years of program with a decade of revenue with the heaviest costs concentrated in the second five years,2,-1
it s just outrageous that under president bush the national institutes of health have been basically decreased in funding,1,-2
kathryn starkey joined forces with liberal democrats on a historic sales tax hike,1,-2
prices are going up unemployment is continuing to go up,1,-1
says texas has the nations most uninsured residents,1,-1
we are th in the nation for our graduation rate,1,-1
welcome to houston the most diverse city in america,2,-1
the white house has three staff calligraphers making between and each and just one national security director she makes,2,-1
says maggie hassan is the only female governor in the country,1,-1
thomas paine wrote that the duty of a patriot is to protect his country from his government,1,-2
weve dedicated more money from washington countys transportation budget to bike and ped projects under my watch than at any time in the history of washington county,1,-1
the radiation coming from the new tsa body scanners is equivalent to about three minutes worth of air travel by anybody say at feet,1,-1
if fox news presidential debate rules had been in place during the election bill clinton wouldnt have beenon the stage,1,-1
u s senate candidate todd akin was partly right that a womans body has a way of shutting down so that a pregnancy doesnt occur if shes raped,1,-4
the american academy of pediatrics supports banning guns,2,-2
barbara boxer voted to cut spending on medicare benefits by billion cuts so costly to hospitals and nursing homes that they could stop taking medicare altogether,1,-2
global warming is a hoax,1,-1
says that we brought chi manufacturing that had business in china back to texas,1,-1
this year the blackstone valley mayoral academy became the first public school in rhode island history to have percent of its elementary age students proficient in reading on state assessments,1,-1
the cap and trade bill will mean million jobs lost,1,-1
the new health care law crushes small businesses with billions in penalties,2,-1
the fact is that although we have had a president who is opposed to abortion over the last eight years abortions have not gone down abortion barack obama president illinois democrat a tv interview with megachurch pastor rick warren in lake forest calif,1,-1
most of the jobs that we lost were lost before the economic policies we put in place had any effect,1,-1
europe and u s households waste times more food than a person in africa,1,-2
says of a failed cloture vote on nominating chuck hagel for defense secretary this is not a filibuster,1,-3
says every school will be negatively impacted if education stability fund is not tapped,1,-2
virginia ranked th in job creation in under gov tim kaine and moved up to third for while mcdonnell has been in office,1,-1
i was the first member of congress to call him barack obama a socialist,1,-1
part of the increase in the cost of higher education has been because state support has dropped we now spend under governor walker more on corrections than we do on higher education,2,-1
we send a billion dollars to foreign countries every day because of our addiction to foreign oil,1,-2
since i came into office we have increased the va budget by percent,1,-1
sotomayor thinks that ones sex race and ethnicity ought to affect the decisions one renders from the bench,1,-1
south korea doesnt pay the united states for u s troops that protect their country,1,-1
while in the illinois senate barack obama passed tax cuts for hard working families,1,-2
every one of the mass shootings except two in america since have been in gun free zones,1,-2
says u s is giving seven alaskan islands to russia,1,-1
says rick scott raised property taxes,1,-2
mitt romney said we should let foreclosures hit the bottom,1,-1
says the military accounts for about percent of floridas economy,1,-1
theres a section in the constitution called the emoluments clause that says no one nor their spouses can take money from foreigners hillary clinton has to be guilty of or counts just on that one charge,1,-4
the woman named wisconsins outstanding teacher of the year was laid off by the milwaukee public schools that year under seniority and tenure rules that were eliminated by his act changes,3,-1
medicaid expansion could cost the commonwealth of virginia over billion a year,1,-1
the islamic state is so small it couldnt fill a doubleaballpark in charleston w va,1,-1
there is no evidence that poor people abuse drugs more frequently than any other socio economic group,1,-4
wisconsin is in the midwest for personal income growth over the year,1,-1
the democrats health care bills would provide free health care for illegal immigrants,2,-2
if you apply for a job the chances are in that you are going to be denied that job unfairly if everybody is forced to use e verify,1,-2
some politicians want to put new taxes on a lot of groceries,1,-2
says she never received nor sent any material that was marked classified on her private email server whilesecretary of state,1,-1
the united states won every major battle of the vietnam war every single one,1,-3
when i was growing up as a kid in the city of milwaukee if we averaged homicides a year in the entire city that was a record number,1,-1
says gas costs a gallon,1,-1
my opponent on day one of this campaign attacked me on medicare and medicare advantage and that claim was found to be false,1,-3
al franken said almost exactly what trump said about john mccains military record,1,-1
veterans unemployment is actually now lower than the general population it was higher when i came into office,1,-1
in recent years rep latourette has sponsored legislation that would increase spending by percent,1,-1
some city of atlanta employees have not had raises in eight years,1,-1
republicans approved times larger tax breaks for people making over grand than for the average middle class person,2,-2
of nj voters do not support hunting,1,-2
forty aides who serve president barack obama owe in back taxes,1,-2
says u s senate candidate tommy thompson admitted that washington d c changed him into an insider selling his influence to make millions from powerful special interests,2,-1
factories are opening their doors at the fastest pace in almost two decades,1,-1
in new york city murders are up,1,-4
obama has asked for million in earmarks literally million for every day that hes been in congress,1,-1
says ronald reagan repeatedly talked about how irresponsible it would be to allow the full faith and credit of the united states to be impaired in any kind of way,2,-2
we cut a record billion from our state budget,1,-1
now we have isis coming over the u s mexico border,1,-1
for every single scientist that tells you global warming is happening and that its our fault i can stack up another group of reports that say just the opposite,1,-2
says percent of wisconsin employers think the state is heading in the right direction and a majority say they will grow their companies in,1,-1
says hillary clintons plan is going to raise taxes and even double your taxes,1,-2
millions of americans are paying more and getting less under obamacare,1,-1
when he took office in president barack obama had the biggest democratic majorities in congress since lyndon johnson,1,-1
sen mccain s economic plan gives nearly billion in tax breaks to the oil companies but doesn t provide any tax relief to more than million middle class families,2,-2
says barack obama is getting his nominees confirmed faster than president george w bush was at the same time in his second term,1,-1
says obama promised to cut the deficit in half,2,-2
in democratic wisconsin state senators rammed through a billion dollar tax hike in hours with no public input,1,-2
of americans want national background checks that close loopholes,1,-1
dozens of artists including justin timberlake jay z and rihanna are canceling florida shows like stevie wonder in protest of stand your ground,2,-2
we have that program where immigrants come here and they have to bring a million dollars in order to get a green card if theyre going to create jobs,1,-1
says newt gingrichs contract was with the lobbyists at freddie mac,1,-1
privatizing social security was a bad idea when george w bush proposed it it s a bad idea today sen mccain s campaign went even further suggesting to cut cost of living adjustments or to raise the retirement age,2,-2
on deporting illegal immigrants,1,-2
the countrys bankrupt,1,-3
we spend a staggering amount of money on health care over trillion and almost twice as much as any other country per person,2,-1
preventive care saves money,2,-1
says connie mack iv co sponsored a bill to take a third of the social security trust fund give it in individual accounts to the senior citizens who then were to invest it in the stock market,2,-1
our national guard as we saw in the midwest flooding can t function as effectively as it could i was talking to national guard representatives fifteen of their helicopters in this region were overseas during the flooding,1,-1
fulton county has successfully reduced the number of pregnancies among to year olds,3,-1
says the texas house has a record number of new members joining our ranks,1,-1
says democrats cut million from the state budget for information technology improvements,2,-1
austins pease elementary is a school that was created as part of the texas constitution,1,-1
i was pretty proud of being the only guy on the stage that ever had a job in the private sector,3,-1
the percent tax rate called for under president barack obamas proposed buffett rule is lower than the prescribed tax rate for millionaires already not just for millionaires for people making over,1,-2
says u s rep ted yoho said african americans should only be given three fifths of a vote,1,-1
we dont need a separate prescription drug database pharmacies already have a database in place,1,-1
a small business in my district needed different permits and fees just to be able to expand,1,-1
the u s department of defense spends million a year on prostate cancer research million a year on ovarian cancer research and million a year on breast cancer research,1,-4
fact nothing in obamacare forces people out of their health plans,1,-1
after j d hayworth was voted out of congress he became a registered lobbyist who was paid thousands by a florida corporation to lobby the very committee he used to serve on,1,-1
percent of doctors support the use of medical marijuana,2,-1
department of education officials investigating virginia tech shootings have not once gotten into the car and driven down to blacksburg to talk to the police chief or the university president or to anyone else,1,-2
we are dealing with an administration that quite frankly has shown a reluctance to enforce the immigration law,1,-2
when social security was passed there were all kinds of lawsuits just as there have been in the legal battle over the new health care law,2,-2
says damascus disincorporation would produce no significant tax savings,1,-2
scott walker opposed a plan to help wisconsin students refinance their student loans,1,-1
lee zeldin missed rds of veterans affairs hearings,1,-2
i have won more elections than any chairman since,1,-1
percent more traffic here,1,-1
in arizona there are only one and a half border patrol agents per every square miles,1,-1
mccain says we can t have timelines to draw down our troops from iraq,1,-1
in wisconsin a woman only earns cents for every a man earns,1,-1
loranne ausleys a financial train wreck for taxpayers pushing gas taxes property taxes taxes on seniors,1,-2
grocery prices have risen significantly over the past year or so,1,-1
sen kay bailey hutchison s concession speech came with less than percent of the precincts having been counted,1,-2
i think we came down here to florida one time but we weren t actively fundraising here,1,-1
canadian born ted cruz has had a double passport,1,-1
says holly turner failed to vote in five straight republican primaries,1,-3
the white house budget plan will bring domestic discretionary spending to its lowest share of our economy since dwight eisenhower was president,1,-2
the california governor says yes to poisoning more children with mercury and aluminum in vaccines,1,-3
says donald trump has outlined policies that read like a kremlin wish list,2,-1
says congressmen paul ryan and todd akin co sponsored legislation to limit federal funding for abortion to victims of forcible rape,1,-4
sayshillary clinton wants to abolish the second amendment,1,-2
less than half of the poorest american households have a home internet subscription,1,-2
said he is the only democratic candidate for state attorney general who has represented the entire state of georgia,1,-1
in years there will be enough muslim voters in the u s to elect the president by themselves,1,-1
during the past four years average wages have barely budged,1,-1
donald trump protester speaks out i was paid to protest trumps rally,1,-2
says vladimir putin said president obama and his fellow democrats are either idiots or deliberately trying to destroy their own economy,1,-3
mccain supports tax breaks for companies that ship jobs overseas,2,-2
isis is running through a border made porous by barack obamas policies,1,-1
job losses are so certain under this new cap and tax plan that it includes a provision accommodating newly unemployed workers from the resulting dried up energy sector to the tune of billion over eight years so much for creating jobs,1,-3
says under federal law we do not have any limitation on the number of guns and bullets we can buy,1,-2
studies have shown that voter fraud is non existent in texas,1,-2
extending current tax rates would average more than a year to millionaires and even billionaires,1,-2
over unique internet protocol addresses in wisconsin alone have downloaded child pornography,1,-1
its factually correct to say that jennifer brunner inherited at least lawsuits when she came into the office that were a result of ken blackwells mismanagement of the election,1,-1
the aclu has filed a suit to end prayer from the military completely,1,-1
under president george w bush prosecution of gun crimes was percent higher than it is under president obama,1,-2
there are babies born deformed every year in this country because of women who are alcoholics while they re carrying those children to term,2,-1
says were losing one voter every minutes,1,-3
today we have two vietnams side by side north and south exchanging and working,1,-1
a data system that goes along with common core is designed to collect up to data points on each child which can include personally identifiable data,1,-1
alison alter got an f in attendance in as an austin parks board member and was removed by a unanimous vote of the austin city council,1,-1
says he got lobbied by a woman with late stage cancer about vaccinating texas girls against a virus that can cause cervical cancer,1,-4
florida shelled out more money for drug testing than it saved by denying welfare benefits to people who tested positive for drugs,3,-1
illegal immigration is lower than its been in years,1,-2
ive got a percent career voting record in congress while bill nelson has a percent voting record,1,-1
when i was secretary of state i had a very high approval rating,1,-1
kesha rogers is not a democrat,1,-1
says house republicans spent million on votes to repeal obamacare,1,-2
democrats are poised now to cause this largest tax increase in u s history,1,-2
says under mayor cory booker newark has seen violent crime up five years in a row murder up five years in a row,1,-4
seventy of ohios counties now have more than percent of their residents eligible for emergency food,1,-2
americanschools are more segregated than they were in the s,1,-1
i was filibustered,1,-1
it was president obama s inaction that caused over three weeks to go by before he even approved the governor s plan to protect our marsh,1,-1
the chinese last year probably stole billion inintellectual property from the united states,1,-2
almost nine out of every pennies that would be spent turning a mile stretch of interstate into a toll road would be from folks outside missouri,1,-1
greg abbott said it would be a waste to expand pre k to all texas children,1,-2
it costs us logistically three times more to fight in afghanistan than it does in any other place,1,-3
some detainees were released from guantanamo during the bush administration,1,-1
youre more likely to be the victim of a violent crime in milwaukee than in percent of the country,1,-3
the average person who gets the minimum wage in america is years old,1,-1
the majority of public funding for the marlins stadium came from hotel taxes the burden of which is incurred by tourists who are visiting our city not the resident taxpayers,1,-2
more people today are leaving virginia than moving in,1,-1
with rick scott there are more funds for preschool education,1,-1
the children coming across the southern u s border were never examined after they got here and quarantined if they had a disease they were just sent out across the country many of them had measles we now have an outbreak of it all because of our immigration policy,1,-3
the mack penny plan for the federal budget would balance our budget by and continues to gain support,2,-1
under the arizona immigration law police are required to check immigration status if someone s lawn is overgrown or if a dog is barking too loudly,1,-1
as a result of the house republican bill the nonpartisan congressional budget office now confirms that families will see their health care premiums reduced by up to percent,2,-1
says thomas jefferson helped craft the constitution,1,-1
says u s rep tammy baldwin a candidate for senate supports raising taxes by billion,2,-2
right now here in texas wind power is already cheaper than dirty fossil fuels,1,-2
says the obama administration plans to reduce the number of beds devoted to holding individuals violating immigration laws and to release hundreds of dangerous criminals into our communities,3,-4
says democratic challenger russ feingold was the deciding vote on obamacare,1,-2
florida has the most errors and exonerations from death row,1,-3
a recent economic uptick appears to coincide with the expectation of a new republican congress,1,-1
there is no precedent for what the democrats are doing with this deception we have never written a reconciliation bill to amend a law that does not exist,1,-2
i was one of the few very few who voted no on the iran deal,1,-1
he kirk did violate pentagon rules twice actually for improperly mingling politics with his military service,1,-2
oregon has never before tried to create a land use plan for what it should look like for years,2,-1
on expanding medicaid under the affordable care act,2,-1
obama s plan to raise the capital gains tax hurts the middle class,1,-3
the house zika bill limits access to birth control services needed to help curb the spread of the virus in puerto rico,1,-1
says the claim that percent of guns are sold without background checks traces to information gathered before background checks were even required,1,-2
doctors kill about people a year in botched surgeries,1,-2
the white house branded the memorial service for the tucson shootings with a together we thrive logo and slogan,1,-2
obama changed the rules in washington gone are the free gifts from lobbyists gone are the fancy airplane rides for nothing,1,-1
by the end of this budget im in right now taxes will have been cut billion in my state,1,-2
says joanne kloppenburg has told us she thinks its her job to promote a more equal society,1,-1
president eisenhower on the night before the normandy invasion wrote a letter of resignation to the united states army for the failure of the landings at normandy,1,-3
percent of our economy is the financial sector,1,-1
barack obama has reversed on his commitment to begin withdrawing american troops from iraq immediately,1,-1
illegal immigration and the crime rate are as low as theyve been in decades,1,-2
between and criminal aliens accounted for percentof all murder convictions in the five states of california texas arizona florida and new york,1,-4
repealing obamacare saves our nation more than trillion,2,-2
statistics show that more people at this time telecommute than they ride carpools mass transit bicycle or walk,1,-1
we have constitutional amendment that says that there s a ban on drilling right off florida s coast,1,-1
in president barack obamas state of the union address the words al qaida were never used the first time those words have not been used in a state of the union address since february,1,-1
mccain voted times against a minimum wage increase,1,-2
sen arlen specters party switch could end up giving republicans the ability to filibuster judicial nominees at the judiciary committee level so that the nominees never get out of committee,1,-1
says only four texas legislators voted against a law giving in state tuition rates to certain illegal immigrants,1,-2
oregon is the most trade dependent state in the nation,1,-2
in fact new jersey is a donor state we get cents back on every dollar we send to washington and interestingly kentucky gets on every dollar they send to washington,2,-1
says barack obama had huge majorities in congress during his first two years in office and did nothing with them to create jobs in america,1,-1
says hillary clinton is proposing to print instant work permits for millions of illegal immigrants to come in and take everybodys jobs including low income african americans,1,-2
u s sen lindsey graham says south carolina has a labor shortage and wants more immigration,1,-2
people a day move to austin,1,-1
one of the interesting things about the recovery act was most of the projects came in under budget faster than expected because theres just not a lot of work there,2,-1
were spending bucks a kid a year in the school system,1,-1
says austin has the lowest property tax rate by far of the five major cities in texas,1,-2
i didnt support sonia sotomayor,2,-1
you can look at the propaganda on a lot of the terrorists sites and what donald trump saysabout muslims is used to recruit fighters,1,-3
says chris christie was the first governor in america to endorse mitt romney,1,-1
general electric hasnt really created any jobs in this country doesnt pay any taxes and theyre making historic profits,2,-2
says the u s attorneys office said that neither i nor my campaign had any idea what was going on regarding my fathers illegal campaign contributions and thats why they closed this case,1,-2
iowas republican caucus stopped mattering years ago it in no way determines the party nominee,1,-1
says both donald trump and hillary clinton say planned parenthood is terrificand that it should keep taxpayer funding,4,-2
in then sen barack obama missed or percent of his votes in john kerry missed close to to percent and bob graham missed over percent of his votes,1,-2
texans eat more catfish than residents of all other states combined,1,-1
says ted cruz wanted to let in more syrian refugees and give amnesty to illegal immigrants,1,-2
january through november the year so far were the hottest first months of any year recorded,1,-1
w hen adjusted for cost of living georgia ranks first nationally in teacher salary and benefits,1,-1
u s sen sheldon whitehouse rewarded wall street executives with millions in bonuses,2,-1
says his act reforms have saved the taxpayers some billion,2,-2
says the federal health care law upheld by the supreme court has improved or saved the lives of more than texans otherwise prevented from obtaining health coverage due to pre existing conditions,3,-1
about percent of gov nathan deals appointments have been african american,1,-1
and as of today new jersey state government has less employees than when christie whitman left office in,1,-1
when i was born defense spending was percent of the budget its now percent,1,-1
john mccain said in december he was surprised there was a subprime mortgage problem,1,-2
more lives are lost from violence against women sex selective abortion female infanticide suicide egregious maternal mortality and other sex linked causes than were lost during all of the wars and civil strife of the th century,1,-4
the benefits that were offered to me as a congressman dont even compare to the benefits that you get as a state employee i just experienced that myself theyre not nearly as good,2,-1
huckabee supported a tuition break to the children of illegals that are here illegally when citizens are having to pay a higher rate,2,-1
the senate republican education plan is an unfunded mandate for local school districts,1,-1
obama voted for and even sponsored amendments that were intended to kill the immigration overhaul legislation,1,-2
with obamacare you have no options you cant get competitive bidding,1,-1
john mccain has said the economy is not his strong suit,1,-1
weve seen highway fatalities actually decrease in colorado since marijuana use was legalized,1,-3
i believe senator clinton you ve raised more money from those people the oil and gas industry than any candidate democrat or republican,1,-1
gov rick scott is trying to get a waiver under the federal health care law that would deny consumers in florida the right to the million in rebates they have from their own hmos,2,-1
jason carter actually opposed more funding for education in the senate,1,-1
every day in the united states we are losing factories,1,-3
about percent of americans get paid the minimum wage,1,-1
the affordable care act is a major reason why weve seen fewer preventable patient deaths in hospitals,2,-3
after patrick murphys charges were dropped murphys father gave the prosecutor a huge campaign donation,1,-2
the current agriculture commissioner allowed tainted beef to be sent to school cafeterias,1,-2
congressman john lewis an american hero made allegations that sarah palin and i were somehow associated with the worst chapter in american history and senator obama you didn t repudiate those remarks,3,-3
the national debt is equal to for every american or for every u s household it is now equivalent to the size of our entire economy,1,-1
this week the house of representatives voted to remove the word lunatic from federal law,1,-2
less than percent of illegals are picking crops but percent are on welfare,1,-1
says the states budget shortfall is not that much different than it was in,1,-1
sen joe biden the ranking member of the foreign relations committee recommended partitioning iraq into three separate entities,1,-2
the overwhelming number of school districts reported their staff stayed the same or grew after the state budget,1,-3
seventy percent of missourians support voter photo id legislation,2,-1
says middle class new york state residents will have the lowest tax rate in years,1,-2
my plan offers three times as much tax relief to the middle class as senator mccain s,2,-2
thirty million americans including a lot of people in florida are going to be able to get healthcare next year because of that law,1,-1
under president obama domestic oil production is at an eight year high,1,-1
says under u s sen robert menendezs watch the nations unemployment rate and debt doubled and the federal budget deficit quadrupled,1,-2
seniors will see billion in medicare cuts to fund obamacare,1,-1
theres only one candidate under investigation terry mcauliffe,1,-1
annual water usage in was actually down more than percent from usage in,1,-1
currently there is no one from south austin on the austin city council,1,-1
the percent of students who enter high school and eventually earn a diploma or equivalent or who remain in pursuit of a diploma or equivalent is percent,1,-1
we have been focusing so much especially the texas department of transportation on that percent of people in single occupancy vehicles,1,-1
there is no state in the u s where a hour minimum wage work week is enough to afford a two bedroom apartment,1,-1
when those restrictions expire in the iran nuclear deal iran will have an industrial size military nuclear capability ready to go,1,-2
says hillary clinton will receive her congressional salary until she dies and the secret service pays her mortgage,1,-1
says theres no proven instance where hydraulic fracking has polluted groundwater,1,-2
sixty percent of the auto thefts that we have in st petersburg are caused by people leaving their keys in the car,1,-1
obamas secretary of energy dr steven chu has said publicly he wants us to pay european levels for gasoline and that would be or a gallon,1,-1
in stimulus funds were used for a martini bar and brazilian steakhouse,1,-1
says if labor force participation rate were the same as when barack obama became president unemployment would be percent,1,-2
there are millions of women all across the country who rely on planned parenthood for not just contraceptive care they rely on it for mammograms,1,-2
under obama s tax plan percent of you will get a tax cut,1,-2
it is simply a fact that insufficient funding for amtrak has delayed the installation of a positive train control safety system to deny a connection between the derailment in philadelphia and underfunding amtrak is to deny reality,3,-2
austin has over city employees that make six figure salaries,1,-1
every signer of the declaration of independence had no federal elected office experience,1,-1
the state food stamp call center program is administered from foreign shores,1,-2
says the acting chief of the irs said he and the majority of irs employees would rather stay with his current health plan than switch to obamacare,1,-1
florida is now the no state in the country for automobile accident fraud,1,-2
when i took office last year we faced historic budget deficits of billion here in virginia and we closed those deficits by cutting spending,1,-1
all university of texas student athletes get an ipad,1,-1
there was no surge in c applications in,1,-1
says days after hurricane katrina this chamber passed two separate bills amounting to billion it has been nearly two months since we had superstorm sandy and nothing has passed,1,-1
president barack obamas budget threatens national security by proposing an army of fewer personnel than we had before pearl harbor,2,-3
the extra point is almost automatic the nfl had five missed extra points this year out of some odd attempts,1,-2
says that under his tax plan no matter where you are in the stratosphere youre going to be getting a tax cut,1,-2
we have a governor whos vetoed measures like increasing our minimum wage and restoring the earned income tax cut,2,-2
says milwaukee county buses are no less safe now than a year or two ago,2,-1
says the average government worker wont be impacted in the first two years under the reform of state health benefits,1,-1
says she voted for a statewide fracking ban,1,-1
planned parenthood is the only health care that a significant number of women get about percent of women thats their health care,2,-1
the federal limousine fleet has increased by percent since barack obama took office,1,-2
says texas has been waiting for two years for the federal government to act on a proposal to allow the state to create insurance opportunities for those that are uninsured today,1,-1
says he was endorsed by thevalley news newspaper,1,-1
john mccain voted against funding the troops because of a timeline in it to draw down american troops,1,-2
we had a massive landslide victory as you know in the electoral college,1,-1
more people have been put on food stamps by barack obama than any president in american history,1,-1
a new bill was written into the new health care reform initiative ensuring that congress will be percent exempt,2,-2
says president barack obama attacked potential terrorist targets in syria in the middle of the night to minimize terrorist casualties,1,-3
says nevadans will have a double digit hike in their obamacare premiums for the year and of nevadas counties will only have one obamacare exchange insurer,1,-1
if rhode island raises the meal and beverage tax to percent it would be the fourth highest in the nation,1,-2
